utc	jobid	name	config	gpus	nodes	gpus_per_node	queue	wall	mem	mbs	ga	seq	steps	tokens_per_step	total_tokens	git_commit	config_sha256	cmdline
2026-09-20T06:05:18Z	1798096	cmix_134M_pure_32B_sparse	configs/cmix/cmix_134M_pure_32B_sparse.yml	8	2	4	normal	24:00	96G	2	4	4096	122070	262144	31999918080	3a98dfd0	9f483a0911ed4535	submit_train.sh cmix_134M_pure_32B_sparse configs/cmix/cmix_134M_pure_32B_sparse.yml 8 normal 24:00 96G 
2026-09-20T06:05:18Z	1798097	abl_E_134M_6G1x6E_baseEGPT	configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml	4	1	4	normal	24:00	96G	4	4	4096	122070	262144	31999918080	3a98dfd0	832d04da068d4a7d	submit_train.sh abl_E_134M_6G1x6E_baseEGPT configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml 4 normal 24:00 96G 
2026-09-20T06:11:02Z	1798098	abl_G_400M_6G1x6E1x6E	configs/iclr_26/ablations/abl_G_400M_6G1x6E1x6E.yml	8	2	4	normal	24:00	160G	2	8	4096	61035	524288	31999918080	3a98dfd0	c242c110a9e68216	submit_train.sh abl_G_400M_6G1x6E1x6E configs/iclr_26/ablations/abl_G_400M_6G1x6E1x6E.yml 8 normal 24:00 160G 
2026-09-20T06:11:02Z	1798099	abl_G_400M_6G1x6S1x6S	configs/iclr_26/ablations/abl_G_400M_6G1x6S1x6S.yml	8	2	4	normal	24:00	160G	2	8	4096	61035	524288	31999918080	3a98dfd0	26d60840fc77bb09	submit_train.sh abl_G_400M_6G1x6S1x6S configs/iclr_26/ablations/abl_G_400M_6G1x6S1x6S.yml 8 normal 24:00 160G 
2026-09-20T06:11:14Z	1798100	abl_F_134M_6G_dense_isoactive	configs/iclr_26/ablations/abl_F_134M_6G_dense_isoactive.yml	4	1	4	normal	24:00	96G	4	4	4096	122070	262144	31999918080	3a98dfd0	e43c29c552055c4c	submit_train.sh abl_F_134M_6G_dense_isoactive configs/iclr_26/ablations/abl_F_134M_6G_dense_isoactive.yml 4 normal 24:00 96G 
2026-09-20T06:11:20Z	1798101	abl_H_400M_6G6E_deep	configs/iclr_26/ablations/abl_H_400M_6G6E_deep.yml	8	2	4	preemptable	24:00	160G	2	8	4096	61035	524288	31999918080	3a98dfd0	c28ba0490c2a7b53	submit_train.sh abl_H_400M_6G6E_deep configs/iclr_26/ablations/abl_H_400M_6G6E_deep.yml 8 preemptable 24:00 160G 
2026-09-20T06:11:20Z	1798102	abl_H_400M_6G6S_deep	configs/iclr_26/ablations/abl_H_400M_6G6S_deep.yml	8	2	4	preemptable	24:00	160G	2	8	4096	61035	524288	31999918080	3a98dfd0	f51bdab2d2806788	submit_train.sh abl_H_400M_6G6S_deep configs/iclr_26/ablations/abl_H_400M_6G6S_deep.yml 8 preemptable 24:00 160G 
2026-09-20T06:11:21Z	1798103	abl_H_400M_6G6G_deep_isoactive	configs/iclr_26/ablations/abl_H_400M_6G6G_deep_isoactive.yml	8	2	4	preemptable	24:00	160G	2	8	4096	61035	524288	31999918080	3a98dfd0	af01abe6b993b155	submit_train.sh abl_H_400M_6G6G_deep_isoactive configs/iclr_26/ablations/abl_H_400M_6G6G_deep_isoactive.yml 8 preemptable 24:00 160G 
2026-09-20T06:20:12Z	1798128	abl_F_134M_6G_dense_isoactive	configs/iclr_26/ablations/abl_F_134M_6G_dense_isoactive.yml	4	1	4	normal	24:00	96G	4	4	4096	122070	262144	31999918080	3a98dfd0	51f41f1578be7e00	submit_train.sh abl_F_134M_6G_dense_isoactive configs/iclr_26/ablations/abl_F_134M_6G_dense_isoactive.yml 4 normal 24:00 96G 
2026-09-20T06:40:06Z	1798194	abl_B_400M_6G1x6S	configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml	8	2	4	normal	24:00	160G	2	8	4096	61035	524288	31999918080	dac514d3	34387b92570cfbfd	submit_train.sh abl_B_400M_6G1x6S configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml 8 normal 24:00 160G 
